wood_DensityBasedClustering4minfeature.OBJECTID,wood_DensityBasedClustering4minfeature.SOURCE_ID,cluster,wood_DensityBasedClustering4minfeature.PROB,wood_DensityBasedClustering4minfeature.OUTLIER,wood_DensityBasedClustering4minfeature.EXEMPLAR,wood_DensityBasedClustering4minfeature.STABILITY,wood_DensityBasedClustering4minfeature.COLOR_ID,wood.FID,Suffix,Placename,State,Lat,Long
710,709,46,1,0.017826588,0,0.027531739,6,709,wood,Maywood,IL,41.8791979,-87.8431155
712,711,37,0.809664434,0.190335566,0,0.002399878,4,711,wood,Norwood,IL,41.0892032,-90.6381918
713,712,37,1,0,1,0.002399878,4,712,wood,Norwood,IL,40.7055931,-89.6987129
714,713,38,0.15075103,0.84924897,0,0.075437646,2,713,wood,Nutwood,IL,39.0847704,-90.5559528
715,714,62,1,0,1,0.001944409,8,714,wood,Oakwood,IL,40.1161471,-87.7783592
716,715,46,0.276670019,0.723329981,0,0.027531739,6,715,wood,Pittwood,IL,40.8608678,-87.7294783
717,716,46,1,0,1,0.027531739,6,716,wood,Ridgewood,IL,41.5355867,-88.0403351
718,717,46,0.715718758,0.284281242,0,0.027531739,6,717,wood,Ringwood,IL,42.3922427,-88.2970335
720,719,46,1,0.016044255,0,0.027531739,6,719,wood,Shorewood,IL,41.5200305,-88.2017293
721,720,46,1,0.04664411,0,0.027531739,6,720,wood,Streamwood,IL,42.0255827,-88.1784085
722,721,46,1,0.146382593,0,0.027531739,6,721,wood,Wildwood,IL,42.3427999,-87.9981333
723,722,46,1,0,1,0.027531739,6,722,wood,Lakewood,IL,41.9166949,-88.1975725
724,723,37,1,0,1,0.002399878,4,723,wood,Brownwood,IL,40.3961521,-89.4748214
726,725,37,1,0,1,0.002399878,4,725,wood,Lakewood,IL,40.247266,-90.0851178
727,726,62,0.935781083,0.064218917,0,0.001944409,8,726,wood,Melwood,IL,39.7617014,-87.8636413
728,727,37,1,0,1,0.002399878,4,727,wood,Van Wood,IL,39.9614383,-89.5987139
729,728,46,1,0,1,0.027531739,6,728,wood,Lynwood,IL,41.5264242,-87.5386524
730,729,70,1,0,1,0.000338853,7,729,wood,Delwood,IL,37.5797715,-88.571439
731,730,70,1,0,1,0.000338853,7,730,wood,Diswood,IL,37.2314391,-89.3228607
732,731,46,0.34653197,0.65346803,0,0.027531739,6,731,wood,Edgewood,IL,42.2411322,-88.9209351
733,732,46,1,0.253742162,0,0.027531739,6,732,wood,Galewood,IL,41.9236425,-87.7928372
734,733,46,1,0.462671489,0,0.027531739,6,733,wood,Kenwood,IL,41.8092006,-87.5975493
735,734,46,1,0.504689935,0,0.027531739,6,734,wood,Mount Greenwood,IL,41.6980891,-87.7086616
736,735,46,1,0,1,0.027531739,6,735,wood,South Englewood,IL,41.7467004,-87.6619944
737,736,46,1,0.414509863,0,0.027531739,6,736,wood,South Kenwood,IL,41.7653123,-87.5778253
738,737,46,1,0,1,0.027531739,6,737,wood,West Englewood,IL,41.7780891,-87.6667177
739,738,46,1,0,1,0.027531739,6,738,wood,Birchwood,IL,42.0166979,-87.6653351
740,739,46,1,0,1,0.027531739,6,739,wood,West Ravenwood,IL,41.9647541,-87.6839455
741,740,46,1,0,1,0.027531739,6,740,wood,North Englewood,IL,41.7458673,-87.6417159
742,741,46,1,0,1,0.027531739,6,741,wood,Greenwood,IL,41.6142016,-87.5892114
743,742,46,1,0,1,0.027531739,6,742,wood,Ravenswood,IL,41.9655876,-87.6667227
744,743,46,1,0.111100824,0,0.027531739,6,743,wood,Maplewood,IL,41.9283654,-87.6953339
745,744,46,1,0.04664411,0,0.027531739,6,744,wood,Saddlewood,IL,41.8922513,-88.0759014
746,745,46,1,0,1,0.027531739,6,745,wood,Shorewood,IL,41.8991957,-88.0797907
747,746,46,0.258140707,0.741859293,0,0.027531739,6,746,wood,Briarwood,IL,41.9428068,-89.1145423
748,747,46,0.87920105,0.12079895,0,0.027531739,6,747,wood,Lynwood,IL,41.6836407,-88.393683
749,748,70,0.990916404,0.009083596,0,0.000338853,7,748,wood,Robinwood,IL,37.5775506,-88.9092346
751,750,37,1,0,1,0.002399878,4,750,wood,Knollwood,IL,39.919494,-89.5828789
753,752,70,1,0,1,0.000338853,7,752,wood,Crestwood,IL,37.604495,-88.9400696
754,753,46,1,0,1,0.027531739,6,753,wood,Creekwood,IL,41.6453091,-87.9745022
755,754,46,1,0.086703346,0,0.027531739,6,754,wood,Evanswood,IL,41.9303053,-88.3725776
756,755,46,1,0,1,0.027531739,6,755,wood,Tanglewood,IL,41.8339174,-88.3586857
757,756,46,1,0.117649005,0,0.027531739,6,756,wood,Elmwood,IL,42.2147464,-88.0934114
758,757,46,1,0.117649005,0,0.027531739,6,757,wood,Knollwood,IL,42.1958578,-88.1150782
759,758,46,1,0.119633051,0,0.027531739,6,758,wood,Brentwood,IL,42.1528032,-88.0481305
760,759,46,1,0,1,0.027531739,6,759,wood,Buttonwood,IL,42.1288889,-87.8075
761,760,46,1,0,1,0.027531739,6,760,wood,Driftwood,IL,42.1202778,-87.7958333
762,761,46,1,0,1,0.027531739,6,761,wood,Cobblewood,IL,42.1044444,-87.8422222
763,762,46,1,0,1,0.027531739,6,762,wood,Dawn Wood,IL,41.6272222,-87.9475
764,763,46,1,0.169709577,0,0.027531739,6,763,wood,Wedgewood,IL,41.5630556,-88.2122222
765,764,46,1,0,1,0.027531739,6,764,wood,Springwood,IL,41.5113889,-88.1705556
766,765,46,1,0.140630509,0,0.027531739,6,765,wood,Cherrywood,IL,41.7008333,-88.0719444
768,767,62,1,0,1,0.001944409,8,767,wood,Benwood,IN,39.5611524,-87.1141815
769,768,92,0.870140315,0.129859685,0,0.024693454,3,768,wood,Brendan Wood,IN,40.0672629,-86.4688899
770,769,92,1,0,1,0.024693454,3,769,wood,Brendonwood,IN,39.8578181,-86.0638737
771,770,92,1,0,1,0.024693454,3,770,wood,Brentwood,IN,40.0975413,-85.7152545
772,771,92,1,0.388106673,0,0.024693454,3,771,wood,Briarwood,IN,39.5508803,-86.5066639
774,773,92,1,0,1,0.024693454,3,773,wood,Creekwood,IN,39.8772625,-86.1188757
777,776,92,1,0,1,0.024693454,3,776,wood,Edgewood,IN,39.6847672,-86.1341529
778,777,92,1,0,1,0.024693454,3,777,wood,Edgewood,IN,40.1033743,-85.7341437
779,778,92,0.864002372,0.135997628,0,0.024693454,3,778,wood,Elmwood,IN,40.0678184,-86.4619452
780,779,92,1,0.395780953,0,0.024693454,3,779,wood,Elwood,IN,40.2769834,-85.8419246
782,781,92,1,0.135624865,0,0.024693454,3,781,wood,Friendswood,IN,39.6464349,-86.3327698
785,784,98,1,0,1,0.009852003,4,784,wood,Greenwood,IN,41.5500501,-85.2327519
786,785,92,1,0,1,0.024693454,3,785,wood,Greenwood,IN,39.6136578,-86.1066526
788,787,92,1,0.36637222,0,0.024693454,3,787,wood,Hazelwood,IN,39.6156022,-86.5219425
790,789,92,0.463056682,0.536943318,0,0.024693454,3,789,wood,Kentwood,IN,40.2769809,-86.489724
791,790,92,0.513161953,0.486838047,0,0.024693454,3,790,wood,Lake Wood,IN,40.5530972,-85.5680304
793,792,92,1,0,1,0.024693454,3,792,wood,Lindenwood,IN,39.6586567,-86.1541535
794,793,92,1,0,1,0.024693454,3,793,wood,Linwood,IN,40.1936521,-85.6816427
795,794,92,0.870140315,0.129859685,0,0.024693454,3,794,wood,Maplewood,IN,39.8344892,-86.5052772
796,795,92,1,0.037027903,0,0.024693454,3,795,wood,Maywood,IN,39.7261554,-86.2158215
798,797,98,0.74776475,0.25223525,0,0.009852003,4,797,wood,Oakwood,IN,41.5497727,-84.9135729
799,798,92,1,0.141940347,0,0.024693454,3,798,wood,Ravenswood,IN,39.8880957,-86.1310984
800,799,92,1,0.223680583,0,0.024693454,3,799,wood,Ridgewood,IN,39.6033799,-86.3594373
801,800,92,1,0.248151415,0,0.024693454,3,800,wood,Riverwood,IN,40.1005927,-85.9680389
803,802,62,1,0,1,0.001944409,8,802,wood,Silverwood,IN,39.9555942,-87.4033482
804,803,92,1,0,1,0.024693454,3,803,wood,South Edgewood,IN,40.0972633,-85.7327548
805,804,92,1,0.375255326,0,0.024693454,3,804,wood,South Elwood,IN,40.262539,-85.8422023
806,805,62,0.934289063,0.065710937,0,0.001944409,8,805,wood,Southwood,IN,39.4030934,-87.4016866
809,808,92,1,0.450223108,0,0.024693454,3,808,wood,West Elwood,IN,40.279761,-85.8605364
810,809,92,1,0.344417643,0,0.024693454,3,809,wood,Westwood,IN,39.7867106,-86.3263812
811,810,92,0.565371305,0.434628695,0,0.024693454,3,810,wood,Westwood,IN,39.9192128,-85.4169159
812,811,98,1,0,1,0.009852003,4,811,wood,Wildwood,IN,41.5947724,-85.1894166
814,813,92,1,0,1,0.024693454,3,813,wood,Northwood,IN,39.830597,-86.1208196
816,815,98,1,0,1,0.009852003,4,815,wood,Northwood,IN,41.6544947,-85.4205357
817,816,98,1,0,1,0.009852003,4,816,wood,Ramblewood,IN,41.5456057,-85.220807
818,817,62,1,0,1,0.001944409,8,817,wood,Leatherwood,IN,39.7517062,-87.2852931
819,818,92,1,0.107660235,0,0.024693454,3,818,wood,Brightwood,IN,39.8036531,-86.1097079
820,819,92,1,0,1,0.024693454,3,819,wood,East Brightwood,IN,39.7975419,-86.0669287
821,820,96,0.650620034,0.349379966,0,0.010857687,1,820,wood,Nutwood,IN,41.5939364,-86.2819517
822,821,92,1,0,1,0.024693454,3,821,wood,Gatewood,IN,39.9463889,-86.0483333
823,822,92,1,0,1,0.024693454,3,822,wood,Connerwood,IN,39.9902778,-86.0247222
824,823,92,1,0,1,0.024693454,3,823,wood,Collingwood,IN,39.94,-85.9847222
825,824,92,1,0,1,0.024693454,3,824,wood,Ashwood,IN,39.9802778,-85.9783333
826,825,92,1,0,1,0.024693454,3,825,wood,Brentwood,IN,39.6027778,-86.1827778
827,826,92,1,0.216114431,0,0.024693454,3,826,wood,Deerwood,IN,39.5833333,-86.2194444
828,827,11,0.914892997,0.085107003,0,0.001086667,4,827,wood,Englewood,KS,37.0383622,-99.9834688
829,828,12,1,0,1,0.001243585,8,828,wood,Atwood,KS,39.806668,-101.0421012
830,829,12,1,0,1,0.001243585,8,829,wood,North Atwood,KS,39.8236123,-101.0468237
831,830,28,0.243681685,0.756318315,0,0.032986947,7,830,wood,Elwood,KS,39.7555499,-94.8724661
833,832,28,0.499461351,0.500538649,0,0.032986947,7,832,wood,Maywood,KS,39.1277812,-94.8252402
834,833,28,0.37748314,0.62251686,0,0.032986947,7,833,wood,Linwood,KS,39.0013921,-95.0391356
835,834,28,0.690953352,0.309046648,0,0.032986947,7,834,wood,Westwood,KS,39.0405608,-94.6169013
836,835,28,0.561795533,0.438204467,0,0.032986947,7,835,wood,Leawood,KS,38.966673,-94.6169012
837,836,28,0.136525115,0.863474885,0,0.032986947,7,836,wood,Homewood,KS,38.5147358,-95.3788661
838,837,33,1,0,1,0.005310087,5,837,wood,Kirkwood,KS,37.3708855,-94.7224597
839,838,33,0.849465786,0.150534214,0,0.005310087,5,838,wood,Dry Wood,KS,37.6597669,-94.7127404
840,839,28,0.290558668,0.709441332,0,0.032986947,7,839,wood,Millwood,KS,39.3838872,-95.1169122
841,840,28,0.409291266,0.590708734,0,0.032986947,7,840,wood,Maywood,KS,39.2261131,-94.8446846
842,841,28,0.512611128,0.487388872,0,0.032986947,7,841,wood,Vinewood,KS,39.1716697,-94.7935726
843,842,28,0.189928946,0.810071054,0,0.032986947,7,842,wood,Norwood,KS,38.7097308,-95.2469176
844,843,103,0.354151438,0.645848562,0,0.060641155,8,843,wood,Atwood,KY,38.8722866,-84.5382748
845,844,102,0.822909192,0.177090808,0,0.129697995,7,844,wood,Bellewood,KY,38.2575709,-85.6596836
847,846,102,1,0,1,0.129697995,7,846,wood,Briarwood,KY,38.2781258,-85.5930164
849,848,93,1,0,1,0.042529844,5,848,wood,Crestwood,KY,38.0097999,-84.5110499
850,849,101,1,0,1,0.016365401,4,849,wood,Crestwood,KY,38.3242355,-85.4724593
851,850,117,0.192369498,0.807630502,0,0.065952272,5,850,wood,Dogwood,KY,36.9492106,-87.410559
852,851,101,1,0,1,0.016365401,4,851,wood,Eastwood,KY,38.2331259,-85.4557919
853,852,103,0.445513031,0.554486969,0,0.060641155,8,852,wood,Edgewood,KY,39.0186719,-84.581888
856,855,100,1,0,1,0.008090036,6,855,wood,Greenwood,KY,38.1472922,-85.8960755
858,857,100,1,0,1,0.008090036,6,857,wood,Hazelwood,KY,38.1778478,-85.7813513
859,858,93,1,0,1,0.042529844,5,858,wood,Hollywood,KY,38.0278553,-84.4935495
860,859,93,1,0,1,0.042529844,5,859,wood,Kenawood,KY,38.0584106,-84.451604
861,860,100,1,0,1,0.008090036,6,860,wood,Kenwood,KY,38.1645142,-85.7691287
863,862,93,0.270431141,0.729568859,0,0.042529844,5,862,wood,Maywood,KY,37.4803577,-84.616886
864,863,108,1,0,1,0.001711418,2,863,wood,Millwood,KY,37.4503307,-86.3905337
865,864,93,0.182664236,0.817335764,0,0.042529844,5,864,wood,Norwood,KY,37.1517444,-84.6318873
866,865,100,1,0,1,0.008090036,6,865,wood,Parkwood,KY,38.1556254,-85.8013515
867,866,103,0.296504955,0.703495045,0,0.060641155,8,866,wood,Richwood,KY,38.9206183,-84.624944
868,867,102,0.790977323,0.209022677,0,0.129697995,7,867,wood,Robinswood,KY,38.2845144,-85.6502393
869,868,93,1,0,1,0.042529844,5,868,wood,Rockwood,KY,38.0556329,-84.4563263
871,870,102,1,0,1,0.129697995,7,870,wood,Westwood,KY,38.2800702,-85.5827385
872,871,160,0.505362757,0.494637243,0,0.028053247,1,871,wood,Westwood,KY,38.4831366,-82.6698841
873,872,102,1,0,1,0.129697995,7,872,wood,Wildwood,KY,38.2495155,-85.5730161
874,873,93,0.166856172,0.833143828,0,0.042529844,5,873,wood,Beechwood,KY,38.4122919,-84.746058
880,879,93,0.401316385,0.598683615,0,0.042529844,5,879,wood,Faywood,KY,38.1028534,-84.6416106
883,882,160,0.400774039,0.599225961,0,0.028053247,1,882,wood,Glenwood,KY,38.2223061,-82.785996
885,884,93,0.296630021,0.703369979,0,0.042529844,5,884,wood,Kirkwood,KY,37.9164632,-84.923286
886,885,108,0.987241494,0.012758506,0,0.001711418,2,885,wood,Linwood,KY,37.3395013,-85.7599668
887,886,108,1,0,1,0.001711418,2,886,wood,Linwood,KY,37.3419959,-86.1760833
888,887,160,0.656927295,0.343072705,0,0.028053247,1,887,wood,Lockwood,KY,38.3084165,-82.5801579
889,888,108,1,0,1,0.001711418,2,888,wood,Whitewood,KY,37.283673,-85.4360757
893,892,102,1,0,1,0.129697995,7,892,wood,Norwood,KY,38.2520155,-85.6113498
894,893,102,0.677982556,0.322017444,0,0.129697995,7,893,wood,Riverwood,KY,38.2831257,-85.6616283
895,894,160,0.633990356,0.366009644,0,0.028053247,1,894,wood,Greenwood,KY,38.1755556,-82.6147541
898,897,93,0.370416362,0.629583638,0,0.042529844,5,897,wood,Edgewood,KY,37.8738821,-84.579582
899,898,93,0.35101663,0.64898337,0,0.042529844,5,898,wood,Edgewood,KY,37.7323,-84.74617
900,899,93,0.314782837,0.685217163,0,0.042529844,5,899,wood,Lynnwood,KY,37.71654,-84.76583
901,900,93,0.370416362,0.629583638,0,0.042529844,5,900,wood,Maplewood,KY,37.73801,-84.73596
902,901,93,0.211737302,0.788262698,0,0.042529844,5,901,wood,Dogwood,KY,37.4302,-84.94654
903,902,108,1,0,1,0.001711418,2,902,wood,Greenwood,KY,37.20805,-86.5354
904,903,108,1,0,1,0.001711418,2,903,wood,Old Linwood,KY,37.33297,-85.76541
907,906,101,1,0,1,0.016365401,4,906,wood,New Eastwood,KY,38.23279,-85.4502
908,907,101,1,0,1,0.016365401,4,907,wood,Old Eastwood,KY,38.23676,-85.4617
909,908,61,0.677982993,0.322017007,0,0.018897585,4,908,wood,Eastwood,LA,32.5562617,-93.5671195
910,909,81,0.302701371,0.697298629,0,0.047230571,6,909,wood,Greenwood,LA,29.7815977,-90.0136818
911,910,61,1,0,1,0.018897585,4,910,wood,Greenwood,LA,32.4429324,-93.9729615
912,911,58,0.873310541,0.126689459,0,0.003393705,4,911,wood,Holmwood,LA,30.1260416,-93.0798749
913,912,81,0.306849195,0.693150805,0,0.047230571,6,912,wood,Linwood,LA,29.7899307,-90.0084038
914,913,60,1,0,1,0,1,913,wood,Hagewood,LA,31.7151653,-93.2151681
915,914,71,1,0,1,0.013733837,1,914,wood,Cottonwood,LA,32.8884609,-91.101774
916,915,61,0.754585441,0.245414559,0,0.018897585,4,915,wood,Longwood,LA,32.5593173,-93.9785162
918,917,57,0.221243869,0.778756131,0,0.044097912,7,917,wood,Sherwood,LA,31.8504427,-91.9479094
921,920,88,0.224136884,0.775863116,0,0.098018449,8,920,wood,Baywood,LA,30.6910181,-90.8831565
922,921,88,1,0,1,0.098018449,8,921,wood,Castlewood,LA,30.4549126,-91.0867715
925,924,76,1,0,1,0.002626844,5,924,wood,Englewood,LA,32.3851441,-91.2070554
926,925,88,1,0,1,0.098018449,8,925,wood,Goodwood,LA,30.4446351,-91.1109386
928,927,85,1,0,1,0.006843209,3,927,wood,Hardwood,LA,30.8062931,-91.3840018
929,928,85,1,0,1,0.006843209,3,928,wood,Hollywood,LA,30.9499003,-91.4090027
931,930,58,1,0,1,0.003393705,4,930,wood,Hollywood,LA,30.2277057,-93.3259886
933,932,89,1,0,1,0.060969016,1,932,wood,Madewood,LA,29.9321472,-90.9895426
934,933,58,1,0,1,0.003393705,4,933,wood,Maplewood,LA,30.2313167,-93.3162663
935,934,85,0.888033781,0.111966219,0,0.006843209,3,934,wood,Norwood,LA,30.9676784,-91.1039946
938,937,88,0.90207062,0.09792938,0,0.098018449,8,937,wood,Tanglewood,LA,30.5379662,-91.0751048
939,938,76,0.847977641,0.152022359,0,0.002626844,5,938,wood,Westwood,LA,32.1851511,-91.3201146
940,939,81,0.299831128,0.700168872,0,0.047230571,6,939,wood,Willswood,LA,29.9263164,-90.2289654
941,940,61,0.467837692,0.532162308,0,0.018897585,4,940,wood,Elmwood,LA,32.0096075,-93.6376806
942,941,61,0.539918746,0.460081254,0,0.018897585,4,941,wood,Wildwood,LA,32.049607,-93.6860147
943,942,60,1,0,1,0,1,942,wood,Bellwood,LA,31.5273949,-93.2054454
945,944,60,1,0,1,0,1,944,wood,Kurthwood,LA,31.3374012,-93.1657199
946,945,57,1,0,1,0.044097912,7,945,wood,Parkwood,LA,32.505978,-92.1531911
947,946,57,1,0,1,0.044097912,7,946,wood,Richwood,LA,32.4487568,-92.0848562
948,947,57,1,0,1,0.044097912,7,947,wood,Tanglewood,LA,32.457923,-92.0618
949,948,57,1,0,1,0.044097912,7,948,wood,Westwood,LA,32.478757,-92.19597
950,949,60,1,0,1,0,1,949,wood,Wood,LA,31.900162,-93.1618328
951,950,79,1,0,1,0.049601906,2,950,wood,Bellewood,LA,30.534913,-90.4375882
952,951,79,1,0,1,0.049601906,2,951,wood,Lakewood,LA,30.4957474,-90.4959226
953,952,79,1,0,1,0.049601906,2,952,wood,Robinwood,LA,30.4751922,-90.505645
954,953,79,1,0,1,0.049601906,2,953,wood,Tallow Wood,LA,30.5176913,-90.4023092
955,954,58,0.964046998,0.035953002,0,0.003393705,4,954,wood,Westwood,LA,30.4552,-93.451275
957,956,61,1,0,1,0.018897585,4,956,wood,Ridgewood,LA,32.3862667,-93.7910134
958,957,61,1,0,1,0.018897585,4,957,wood,Chasewood,LA,32.3851556,-93.795458
959,958,61,1,0,1,0.018897585,4,958,wood,Hollywood,LA,32.4520982,-93.7857354
960,959,89,0.344902093,0.655097907,0,0.060969016,1,959,wood,Rearwood,LA,30.1696419,-90.957877
961,960,85,1,0,1,0.006843209,3,960,wood,Beachwood,LA,30.8599028,-91.3687236
962,961,89,1,0,1,0.060969016,1,961,wood,Bellewood,LA,29.9068699,-91.0681557
964,963,89,1,0,1,0.060969016,1,963,wood,Glenwood,LA,29.9515911,-91.0437108
965,964,88,0.498304401,0.501695599,0,0.098018449,8,964,wood,Longwood,LA,30.3401933,-91.1370498
967,966,88,0.336208337,0.663791663,0,0.098018449,8,966,wood,Southwood,LA,30.2190851,-91.0492689
968,967,76,0.847977641,0.152022359,0,0.002626844,5,967,wood,Wildwood,LA,31.7859968,-91.5765106
969,968,89,1,0,1,0.060969016,1,968,wood,Wildwood,LA,29.9121475,-91.0564888
970,969,81,0.194929122,0.805070878,0,0.047230571,6,969,wood,Ravenwood,LA,29.6613241,-90.5273075
971,970,88,0.275193622,0.724806378,0,0.098018449,8,970,wood,Blythwood,LA,30.1996409,-91.2076062
972,971,81,0.306849195,0.693150805,0,0.047230571,6,971,wood,Idlewood,LA,30.0321456,-89.9564571
973,972,81,0.306849195,0.693150805,0,0.047230571,6,972,wood,Kingswood,LA,30.0585339,-89.9475681
974,973,88,0.90207062,0.09792938,0,0.098018449,8,973,wood,Donwood,LA,30.4610235,-91.0259365
975,974,88,0.894866072,0.105133928,0,0.098018449,8,974,wood,East Ridgewood,LA,30.5007448,-91.0281591
976,975,88,0.90207062,0.09792938,0,0.098018449,8,975,wood,Engleswood,LA,30.5562992,-91.14594
977,976,88,0.90207062,0.09792938,0,0.098018449,8,976,wood,Greenwood,LA,30.5449105,-91.1067724
978,977,88,1,0,1,0.098018449,8,977,wood,Longwood,LA,30.4796342,-91.086216
979,978,88,0.90207062,0.09792938,0,0.098018449,8,978,wood,Ridgewood,LA,30.5054669,-91.032048
980,979,88,0.750974653,0.249025347,0,0.098018449,8,979,wood,Wedgewood,LA,30.4371352,-91.0114915
981,980,88,0.682202391,0.317797609,0,0.098018449,8,980,wood,Wildwood,LA,30.3699147,-91.1128827
982,981,88,1,0,1,0.098018449,8,981,wood,Ardenwood,LA,30.4468574,-91.1287169
983,982,88,0.90207062,0.09792938,0,0.098018449,8,982,wood,Beechwood,LA,30.5568548,-91.1612182
984,983,88,0.733929143,0.266070857,0,0.098018449,8,983,wood,Bridlewood,LA,30.5718541,-91.01177
985,984,88,0.83235871,0.16764129,0,0.098018449,8,984,wood,Buffwood,LA,30.577132,-91.1626072
986,985,79,0.279584687,0.720415313,0,0.049601906,2,985,wood,Carrollwood,LA,30.0757572,-90.495641
989,988,81,0.89972559,0.10027441,0,0.047230571,6,988,wood,Haaswood,LA,30.3288047,-89.7445073
992,991,81,1,0,1,0.047230571,6,991,wood,Delwood,LA,30.2557505,-89.7931192
993,992,81,1,0,1,0.047230571,6,992,wood,Lakewood,LA,30.2821386,-89.7592293
994,993,81,1,0,1,0.047230571,6,993,wood,Oakwood,LA,30.2515838,-89.7833964
995,994,81,1,0,1,0.047230571,6,994,wood,Willow Wood,LA,30.287972,-89.7222834
997,996,81,0.306849195,0.693150805,0,0.047230571,6,996,wood,Elmwood,LA,29.9565932,-90.1897975
998,997,52,1,0,1,0.002664153,7,997,wood,Tanglewood,MA,42.3473084,-73.3092742
999,998,50,1,0,1,0.046906888,7,998,wood,Glenwood,MA,42.4231519,-71.0914413
1000,999,52,0.944351957,0.055648043,0,0.002664153,7,999,wood,Lakewood,MA,42.4495291,-73.2259376
1001,1000,111,0.510129589,0.489870411,0,0.017128688,5,1000,wood,Brightwood,MA,42.1187048,-72.6162008
1004,1003,50,0.250388797,0.749611203,0,0.046906888,7,1003,wood,Linwood,MA,42.0973189,-71.6447886
1006,1005,50,0.298954658,0.701045342,0,0.046906888,7,1005,wood,Brushwood,MA,42.1028754,-71.4292263
1007,1006,50,0.254662078,0.745337922,0,0.046906888,7,1006,wood,Kenwood,MA,42.6612023,-71.263393
1008,1007,50,0.412985359,0.587014641,0,0.046906888,7,1007,wood,Cedarwood,MA,42.3709295,-71.2625565
1009,1008,50,0.385533456,0.614466544,0,0.046906888,7,1008,wood,Norwood,MA,42.194543,-71.1994976
1010,1009,50,0.404752245,0.595247755,0,0.046906888,7,1009,wood,Westwood,MA,42.2139873,-71.2244987
1011,1010,50,1,0,1,0.046906888,7,1010,wood,Greenwood,MA,42.4820399,-71.0619968
1012,1011,50,1,0,1,0.046906888,7,1011,wood,Maplewood,MA,42.4362074,-71.0508849
1013,1012,51,0.156185604,0.843814396,0,0.112703743,1,1012,wood,Camp Merriwood,MA,41.7931574,-71.1036556
1014,1013,51,0.152690269,0.847309731,0,0.112703743,1,1013,wood,Elmwood,MA,42.0098231,-70.961987
1018,1017,50,1,0,1,0.046906888,7,1017,wood,Lindenwood,MA,42.4834286,-71.1078311
1019,1018,52,1,0,1,0.002664153,7,1018,wood,Beachwood,MA,42.3250866,-73.3203858
1020,1019,50,0.663526566,0.336473434,0,0.046906888,7,1019,wood,Larchwood,MA,42.3781523,-71.1444978
1021,1020,216,1,0,1,0.014507886,5,1020,wood,Edgewood,MD,39.459546,-77.4741529
1022,1021,215,0.926815051,0.073184949,0,0.012687654,2,1021,wood,Ellwood,MD,38.6867819,-75.8874356
1028,1027,226,1,0,1,0.005477563,3,1027,wood,Inwood,MD,39.3023269,-77.0202566
1030,1029,213,0.725067653,0.274932347,0,0.168517346,8,1029,wood,Foxwood,MD,38.4459498,-75.5849251
1033,1032,228,0.882111699,0.117888301,0,0.060390072,4,1032,wood,Allanwood,MD,39.1106636,-77.0363666
1034,1033,233,0.8191211,0.1808789,0,0.096124435,7,1033,wood,Bridlewood,MD,39.4237176,-76.6124689
1035,1034,233,0.697694436,0.302305564,0,0.096124435,7,1034,wood,Cranwood,MD,39.393995,-76.7088613
1036,1035,233,0.611095676,0.388904324,0,0.096124435,7,1035,wood,Cromwood,MD,39.4014957,-76.5535773
1039,1038,228,1,0,1,0.060390072,4,1038,wood,Edgewood,MD,38.9937211,-77.1108117
1040,1039,230,0.46177829,0.53822171,0,0.062314245,4,1039,wood,Edgewood,MD,39.4187194,-76.2944016
1041,1040,228,1,0.299727872,0,0.060390072,4,1040,wood,Fernwood,MD,39.0181651,-77.1372012
1042,1041,226,1,0,1,0.005477563,3,1041,wood,Glenwood,MD,39.2876049,-77.0280343
1043,1042,228,1,0,1,0.060390072,4,1042,wood,Glenwood,MD,38.9956656,-77.1072005
1044,1043,230,0.432843847,0.567156153,0,0.062314245,4,1043,wood,Greenwood,MD,39.4353848,-76.4866306
1045,1044,233,0.697694436,0.302305564,0,0.096124435,7,1044,wood,Greenwood,MD,39.4339949,-76.6977502
1046,1045,230,0.46177829,0.53822171,0,0.062314245,4,1045,wood,Harewood,MD,39.3731637,-76.3444029
1048,1047,233,1,0,1,0.096124435,7,1047,wood,Havenwood,MD,39.4292731,-76.6188581
1049,1048,233,0.422623545,0.577376455,0,0.096124435,7,1048,wood,Hernwood,MD,39.371494,-76.843587
1050,1049,228,1,0.437765976,0,0.060390072,4,1049,wood,Homewood,MD,39.0253873,-77.0627555
1052,1051,228,1,0,1,0.060390072,4,1051,wood,Kenwood,MD,38.9709437,-77.1052562
1054,1053,226,1,0,1,0.005477563,3,1053,wood,Knollwood,MD,39.2637164,-77.0258117
1055,1054,233,1,0,1,0.096124435,7,1054,wood,Knollwood,MD,39.3876067,-76.5946899
1056,1055,213,0.668914482,0.331085518,0,0.168517346,8,1055,wood,Lakewood,MD,38.3367852,-75.6007579
1057,1056,228,1,0.346480154,0,0.060390072,4,1056,wood,Longwood,MD,39.0103875,-77.1449791
1058,1057,228,1,0,1,0.060390072,4,1057,wood,Maplewood,MD,39.0076098,-77.1033116
1059,1058,233,1,0,1,0.096124435,7,1058,wood,Marlywood,MD,39.4012176,-76.6199689
1060,1059,228,0.823428062,0.176571938,0,0.060390072,4,1059,wood,Meadowood,MD,39.0642756,-77.0058101
1061,1060,228,0.80842309,0.19157691,0,0.060390072,4,1060,wood,Norwood,MD,39.1253855,-77.0274776
